1,2,3,4,5,6,7,8
0,0,0,0,0,0,0,0
0,2,1,0,0,0,0,0
1,3,1,1,0,0,0,0
2,4,4,2,1,0,0,0
5,5,5,2,2,0,0,0
8,6,6,2,3,0,0,0
11,7,7,2,4,0,0,0
12,8,8,2,5,0,0,0
12,10,9,2,6,0,0,0
12,10,9,2,6,0,0,0
12,11,10,2,7,0,0,0
15,12,12,2,8,0,0,0
17,14,14,4,10,1,0,0
18,15,16,5,11,4,0,1
18,15,16,5,11,4,0,1
19,16,17,6,12,4,1,1
20,17,18,6,13,4,1,1
21,18,19,7,14,4,2,1
22,19,20,7,15,4,2,1
23,20,21,8,16,4,3,1
24,20,22,9,16,4,3,1
25,21,23,10,16,4,3,1
27,22,25,11,17,5,4,1
31,25,28,15,20,8,4,1
33,27,30,17,21,9,4,1
34,28,30,17,23,9,4,1
34,28,30,17,23,9,4,1
35,29,31,17,24,9,4,1
39,33,34,20,26,11,4,1
42,34,35,21,27,12,5,1
44,37,37,24,29,15,6,1
44,37,37,24,29,15,6,1
46,39,38,26,30,15,7,1
48,41,39,29,31,17,8,1
48,41,39,29,31,18,8,1
48,41,39,29,31,17,8,1
50,43,40,31,32,19,9,1
52,43,42,33,33,19,10,1
52,43,43,35,34,19,11,1
54,43,44,38,35,19,12,1
54,45,45,38,36,20,13,1
54,45,45,38,36,21,13,1
56,47,47,40,38,23,13,1
57,47,47,40,38,23,13,1
57,47,47,40,38,23,13,1
57,47,47,40,38,23,13,1
57,47,47,40,38,24,13,1
58,48,48,41,39,25,13,1
59,49,49,42,39,26,13,1
59,49,49,42,39,26,13,1
61,49,49,42,39,26,13,1
77,49,52,49,39,26,13,1
77,49,52,49,39,26,13,1
77,50,52,49,39,26,13,1
77,51,52,49,39,26,13,1
77,52,52,49,39,26,13,1
78,52,52,49,39,26,13,1
78,52,52,49,39,26,13,1
78,52,52,49,39,26,13,1
80,52,52,49,39,26,13,1
80,52,52,49,39,26,13,1
80,52,52,49,39,26,13,1
82,53,53,50,39,27,13,1
82,53,53,50,39,27,13,1
82,53,53,50,39,27,13,1
83,54,54,51,39,28,13,1
83,54,54,51,39,28,13,1
83,54,54,51,39,28,13,1
83,54,54,51,39,28,13,1
84,55,55,52,39,29,13,1
85,55,55,52,39,29,13,1
85,58,55,52,39,29,13,1
86,58,55,52,39,29,13,1




